dates,week
12/23/2020,407
12/24/2020,408
12/25/2020,409
12/26/2020,410
12/27/2020,411
12/28/2020,412
12/29/2020,413
12/30/2020,414
12/31/2020,415
1/1/2021,416
1/2/2021,417
1/3/2021,418
1/4/2021,419
1/5/2021,420
1/6/2021,421
1/7/2021,422
1/8/2021,423
1/9/2021,424
1/10/2021,425
1/11/2021,426
1/12/2021,427
1/13/2021,428
1/14/2021,429
1/15/2021,430
1/16/2021,431
1/17/2021,432
1/18/2021,433
1/19/2021,434
1/20/2021,435
1/21/2021,436
1/22/2021,437
1/23/2021,438
1/24/2021,439
1/25/2021,440
1/26/2021,441
1/27/2021,442
1/28/2021,443
1/29/2021,444
1/30/2021,445
1/31/2021,446
2/1/2021,447
2/2/2021,448
2/3/2021,449
2/4/2021,450
2/5/2021,451
2/6/2021,452
2/7/2021,453
2/8/2021,454
2/9/2021,455
2/10/2021,456
2/11/2021,457
2/12/2021,458
2/13/2021,459
2/14/2021,460
2/15/2021,461
2/16/2021,462
2/17/2021,463
2/18/2021,464
2/19/2021,465
2/20/2021,466
2/21/2021,467
2/22/2021,468
2/23/2021,469
2/24/2021,470
2/25/2021,471
2/26/2021,472
2/27/2021,473
2/28/2021,474
3/1/2021,475
3/2/2021,476
3/3/2021,477
3/4/2021,478
3/5/2021,479
3/6/2021,480
3/7/2021,481
3/8/2021,482
3/9/2021,483
3/10/2021,484
3/11/2021,485
3/12/2021,486
3/13/2021,487
3/14/2021,488
3/15/2021,489
3/16/2021,490
3/17/2021,491
3/18/2021,492
3/19/2021,493
3/20/2021,494
3/21/2021,495
3/22/2021,496
3/23/2021,497
3/24/2021,498
3/25/2021,499
3/26/2021,500
3/27/2021,501
3/28/2021,502
3/29/2021,503
3/30/2021,504
3/31/2021,505
4/1/2021,506
4/2/2021,507
4/3/2021,508
4/4/2021,509
4/5/2021,510
4/6/2021,511
4/7/2021,512
4/8/2021,513
4/9/2021,514
4/10/2021,515
4/11/2021,516
4/12/2021,517
4/13/2021,518
4/14/2021,519
4/15/2021,520
4/16/2021,521
4/17/2021,522
4/18/2021,523
4/19/2021,524
4/20/2021,525
